epoch,train_loss,train_r,train_p,val_loss,val_r,val_p
1,4.548827431418679,2.242857142857143,2.5658949353876483,4.4116421937942505,4.3,3.800860340394627
2,4.188747523047708,12.314285714285711,13.074716751492005,4.000455945730209,17.8,19.81809450168409
3,3.5869717641310257,31.114285714285717,32.50481221685861,3.262515068054199,34.2,34.78756433183543
4,2.722390096837824,48.57142857142858,51.52800552807073,2.415140688419342,52.49999999999999,53.629264327713976
5,1.9529976628043435,63.12857142857142,65.17388430701402,1.8139125257730484,63.7,64.7792536548419
6,1.4242488622665406,72.04285714285714,73.38510153259767,1.4391289800405502,70.4,72.95408757908758
7,1.084506479176608,78.05714285714286,78.89538293100112,1.212536782026291,74.10000000000002,76.44232850482852
8,0.863977132060311,82.4,83.13433388129634,1.0668321773409843,77.10000000000001,79.29285518403164
9,0.7042092865163629,85.62857142857142,86.01329095260283,0.9682129323482513,77.80000000000003,79.29588467088466
10,0.5873597090894526,88.07142857142857,88.49288273903747,0.8934689238667488,79.60000000000001,80.98405205905205
11,0.4991108005697077,89.74285714285716,89.97814644122592,0.8444428890943527,80.30000000000001,81.6861999111999
12,0.42684939070181416,91.44285714285716,91.57980160908392,0.8047370612621307,81.20000000000002,82.51557609057608
13,0.368778133392334,92.8,92.91593192896285,0.7767371535301208,81.80000000000001,82.88615273615274
14,0.31230922395532784,94.25714285714287,94.34498782616657,0.7534700706601143,81.9,82.99086191586191
15,0.2704937441782518,94.98571428571428,95.03361364122378,0.7387645840644836,82.7,83.69165556665557
16,0.23122245344248685,95.9142857142857,95.97360372842648,0.7223462089896202,82.60000000000001,83.52686202686202
17,0.2012138312513178,96.64285714285714,96.68280568116836,0.7124287560582161,83.2,84.09934509934509
18,0.17184781581163405,97.25714285714285,97.29837422420098,0.708255335688591,83.30000000000001,84.32478354978353
19,0.14567091315984726,97.92857142857144,97.95490775623027,0.7047838494181633,83.70000000000002,84.7688616938617
20,0.12681237689473412,98.18571428571428,98.20618799045629,0.7020361572504044,83.7,84.96419413919413
21,0.10402411222457886,98.81428571428572,98.83084121772367,0.6973488181829453,84.0,84.99640082140081
22,0.08652946251359853,99.2,99.21093104520844,0.6948875710368156,84.30000000000001,85.26059773559773
23,0.0818456076762893,99.19999999999999,99.21064540712531,0.6985558643937111,84.30000000000001,85.33057775557775
24,0.0673732616007328,99.55714285714285,99.5650914620141,0.6956497132778168,84.6,85.5218142968143
25,0.05974767695773731,99.58571428571429,99.59304733405355,0.6950333192944527,84.9,85.83083028083028
26,0.05207159901884469,99.68571428571428,99.68972142030928,0.6912821382284164,84.7,85.48530913530915
27,0.04712659706446257,99.75714285714285,99.76093201722412,0.6955318003892899,84.50000000000001,85.46486291486293
28,0.041208666156638755,99.82857142857144,99.83175720992622,0.6985865384340286,84.7,85.58088023088024
29,0.03507441319525242,99.88571428571429,99.88732394366197,0.6963947713375092,85.20000000000002,86.06821511821514
30,0.03329370120032267,99.87142857142857,99.87303822937625,0.694492869079113,85.0,85.92903485403485
31,0.028709810599684714,99.92857142857143,99.92917505030181,0.6949500292539597,84.7,85.65167332667333
32,0.027102010866457766,99.91428571428571,99.91665058846228,0.6979325711727142,85.1,86.09156399156397
33,0.02362303887917237,99.94285714285714,99.94366197183098,0.7011590003967285,84.6,85.63108003108003
34,0.0219229134646329,99.9857142857143,99.98591549295774,0.6994475275278091,85.10000000000001,86.1289516039516
35,0.020221838947724214,99.95714285714286,99.95774647887325,0.6992404013872147,85.10000000000001,86.01137751137752
36,0.017451045831496065,99.9857142857143,99.98591549295774,0.6980984658002853,85.40000000000002,86.39905372405373
37,0.01696184468878941,99.97142857142858,99.97183098591549,0.6990378648042679,85.10000000000001,86.09360639360641
38,0.015669880849732594,99.9857142857143,99.98591549295774,0.6990266889333725,85.30000000000003,86.23630536130537
39,0.014720909873192961,100.0,100.0,0.7008165195584297,85.20000000000002,86.14980574980576
40,0.012829770232466134,100.0,100.0,0.7006648406386375,85.20000000000002,86.16181873681874
