epoch,train_loss,train_r,train_p,val_loss,val_r,val_p
1,4.423177120902322,7.914285714285714,11.862547276998518,4.092341601848602,28.300000000000004,28.134970968670903
2,3.819768476486206,45.885714285714286,50.211089309187884,3.4603084325790405,56.60000000000001,60.97456957883958
3,3.197687547857111,67.51428571428569,71.34859711011184,2.8730130791664124,69.00000000000001,73.0171546758047
4,2.6186997110193424,77.84285714285714,80.33228472499259,2.431818336248398,75.10000000000001,77.86272844802257
5,2.1358504208651454,82.37142857142857,84.38365944673446,2.026457592844963,79.70000000000002,82.71657922687334
6,1.7447117111899637,85.42857142857144,86.76368321788944,1.6900757998228073,82.90000000000002,85.48090754274965
7,1.4307714180512863,87.8714285714286,88.8978045511078,1.4625505805015564,84.10000000000001,86.12004281408308
8,1.1862081170082093,89.44285714285714,90.11634464627925,1.2344439923763275,86.2,87.6320734820735
9,0.9893847942352295,90.9142857142857,91.4588287368677,1.0909476205706596,87.10000000000001,88.55213397713399
10,0.8390565319494767,92.32857142857144,92.74809053427617,0.9710036516189575,87.80000000000001,89.1817982670924
11,0.7228101773695512,93.05714285714285,93.36016107800396,0.8749606013298035,88.70000000000002,89.79605394605395
12,0.6232428480278361,93.85714285714286,94.07099302568935,0.7874323725700378,89.20000000000002,90.02105672105674
13,0.5409517250277779,94.57142857142857,94.74771074677881,0.7411662191152573,89.30000000000003,90.19148351648352
14,0.4715773251923648,95.22857142857143,95.34894604395032,0.6910612285137177,89.60000000000002,90.4021117771118
15,0.4131962689486417,95.84285714285716,95.95242699929504,0.6528278514742851,89.90000000000002,90.75071317571319
16,0.3644588763063604,96.34285714285714,96.42789507331436,0.6241997256875038,90.30000000000003,90.88276445776447
17,0.32025362740863456,96.87142857142857,96.91540313124862,0.5926361195743084,89.90000000000002,90.47606560106561
18,0.28308141448281027,97.28571428571428,97.3308925934882,0.5779667496681213,90.20000000000003,90.96944444444445
19,0.24658262458714572,97.72857142857141,97.7583035638577,0.5603332333266735,90.30000000000003,91.01926961926964
20,0.21956732056357645,98.11428571428571,98.13824914503854,0.5422243922948837,90.40000000000002,91.05031912531913
21,0.1937923496419733,98.45714285714286,98.47858820193237,0.5293422304093838,90.70000000000002,91.38495393495396
22,0.17094084796580403,98.8,98.81841704541655,0.517390962690115,90.60000000000002,91.19963369963371
23,0.14978726479140195,98.87142857142857,98.88982199865757,0.5095644593238831,90.50000000000003,91.12968420468422
24,0.13258861696178262,99.15714285714286,99.16763279698041,0.5023660771548748,90.50000000000003,91.23938283938284
25,0.11714752113277262,99.28571428571429,99.29538890648465,0.4920263811945915,90.60000000000002,91.20901598401599
26,0.10418066490780223,99.54285714285714,99.54804333245852,0.48623936623334885,90.50000000000003,91.15680153180153
27,0.09329932325265625,99.54285714285714,99.54965906550413,0.47887779772281647,90.80000000000003,91.50807803307805
28,0.08267041153528473,99.68571428571428,99.69090655041359,0.4767349809408188,90.40000000000003,91.02041847041848
29,0.07372961694544011,99.72857142857143,99.73276324614353,0.4712538830935955,90.50000000000003,91.18852258852259
30,0.06613140383904631,99.8,99.80396335394406,0.47408452257514,90.40000000000003,91.13516761016761
31,0.05978335562077436,99.84285714285716,99.84446680080482,0.46659306064248085,90.80000000000003,91.41047286047285
32,0.05326282476836985,99.87142857142857,99.87382070198971,0.46642377600073814,90.70000000000003,91.3584720834721
33,0.04855005714026364,99.92857142857143,99.92957746478872,0.4623487927019596,91.00000000000003,91.64354256854256
34,0.04507751414044337,99.94285714285715,99.94366197183098,0.4612646922469139,90.70000000000003,91.45330502830502
35,0.0406673995947296,99.94285714285715,99.94366197183098,0.4596351124346256,91.00000000000003,91.6191946941947
36,0.03652712994001128,99.95714285714286,99.95774647887323,0.4560248889029026,90.90000000000002,91.59670884670885
37,0.03387823382561857,99.97142857142858,99.97183098591549,0.4537792131304741,90.70000000000002,91.37013542013543
38,0.031396516717293044,99.97142857142858,99.97183098591549,0.4541304372251034,90.90000000000003,91.5734570984571
39,0.028828552026640284,99.97142857142858,99.97183098591549,0.45470423251390457,90.80000000000003,91.58136863136863
40,0.026359111747958443,99.9857142857143,99.98591549295774,0.4512133561074734,90.90000000000002,91.57940115440115
