epoch,train_loss,train_r,train_p,val_loss,val_r,val_p
1,4.3324428124861285,12.999999999999998,17.67421296923462,3.8716114461421967,34.7,39.78533279475118
2,3.4498271855441005,53.58571428571428,57.481413626287726,2.9082778990268707,62.8,69.0275254157607
3,2.5305701819333164,73.78571428571428,76.61833111354619,2.1691210567951202,75.30000000000001,79.78364206313123
4,1.815465380928733,82.14285714285714,83.9810129406316,1.637733668088913,80.80000000000001,83.7841864657082
5,1.329910352013328,85.78571428571429,87.06921001894737,1.2827137261629105,83.70000000000002,86.06350455100454
6,1.0105943994088606,88.18571428571431,89.16474965920571,1.0670210048556328,85.20000000000002,86.8509546009546
7,0.7930043057961897,90.27142857142857,90.7991057350874,0.9103245884180069,86.30000000000003,87.86991472579707
8,0.6442533102902499,92.02857142857142,92.32416514329735,0.8095918819308281,87.30000000000003,88.61850926850927
9,0.5320161066272042,93.28571428571428,93.5164900827724,0.7434569671750069,87.90000000000003,88.99153624153624
10,0.4432941518046639,94.6857142857143,94.83527013155165,0.6884832233190536,88.40000000000003,89.55421800421801
11,0.37648366472937844,95.52857142857144,95.64703110778558,0.6467981487512589,88.90000000000003,89.98408258408259
12,0.3149828721176494,96.19999999999999,96.30298769215098,0.6159824840724468,88.50000000000003,89.625468975469
13,0.2672231969508258,96.91428571428571,96.96246324712777,0.5945946425199509,89.00000000000003,90.07200854700855
14,0.22613605504686182,97.4,97.45246070766451,0.5808342956006527,89.20000000000002,90.29723054723055
15,0.1898321422663602,98.04285714285714,98.07389117848678,0.5695293992757797,89.00000000000003,90.1292540792541
16,0.15996606851165945,98.38571428571429,98.41448018597221,0.5582544021308422,89.10000000000002,90.24495226995228
17,0.13535960723053325,98.82857142857144,98.85016007993259,0.5507218055427074,89.30000000000004,90.33285325785326
18,0.11387910382314162,99.12857142857143,99.14064892631549,0.5392081178724766,89.30000000000004,90.41557886557887
19,0.09581052904779261,99.35714285714286,99.36782448712525,0.5352107621729374,89.90000000000003,90.87344044844045
20,0.0828740739009597,99.55714285714285,99.56352535502872,0.5275487378239632,89.40000000000002,90.37048784548784
21,0.07013341682878407,99.71428571428572,99.71769505924435,0.5264645144343376,89.10000000000004,90.18445443445445
22,0.0607692379843105,99.78571428571429,99.788721216186,0.5187576562166214,89.50000000000003,90.40976523476525
23,0.05343105135993524,99.87142857142857,99.8728370221328,0.5183878540992737,89.70000000000002,90.66994394494395
24,0.04485541649840095,99.94285714285715,99.94366197183098,0.5210824050009251,89.60000000000002,90.65787545787546
25,0.040560019659725104,99.95714285714286,99.95774647887323,0.5225954540073872,89.30000000000004,90.32289654789656
26,0.03531436456198042,99.9857142857143,99.98591549295774,0.5185234770178795,89.60000000000002,90.55265567765568
27,0.03165722841566259,99.9857142857143,99.98591549295774,0.5134374611079693,89.40000000000003,90.49262126762129
28,0.027469832822680472,99.9857142857143,99.98591549295774,0.5157854929566383,89.20000000000003,90.15179265179266
29,0.025391261245716702,100.0,100.0,0.5138326659798622,89.50000000000003,90.5224580974581
30,0.022628189454024488,100.0,100.0,0.5123456418514252,89.30000000000004,90.39255466755468
31,0.020992341231216082,100.0,100.0,0.5116258040070534,89.50000000000003,90.5570845820846
32,0.019141038812019607,100.0,100.0,0.5098852142691612,89.20000000000003,90.20291652791653
33,0.01756008860062469,100.0,100.0,0.5090622566640377,89.30000000000004,90.26997169497172
34,0.015826101177795367,100.0,100.0,0.5087343566119671,89.40000000000003,90.4021228771229
35,0.014786376550116323,100.0,100.0,0.5124190263450146,89.40000000000003,90.43916361416363
36,0.01351484175432812,100.0,100.0,0.5105911828577518,89.10000000000002,90.11850094350096
37,0.01236707866191864,100.0,100.0,0.5086405836045742,89.30000000000003,90.32122044622045
38,0.011581271988424388,100.0,100.0,0.5116192847490311,89.40000000000003,90.41270396270397
39,0.01106746718287468,100.0,100.0,0.5067424103617668,89.60000000000002,90.62168664668665
40,0.0100694155913185,100.0,100.0,0.5074958130717278,89.20000000000003,90.12289654789657
