epoch,train_loss,train_r,train_p,val_loss,val_r,val_p
1,4.173176110874523,11.485714285714284,11.751631300385636,3.236720383167267,30.9,30.343058108220376
2,2.301908096400174,56.39999999999999,56.04617146287537,1.864469364285469,66.69999999999999,68.242055819997
3,1.2024630774151195,81.37142857142858,81.77937232585484,1.219406671822071,79.50000000000001,80.7425727050727
4,0.714326181194999,90.07142857142858,90.322849019901,0.9318317249417305,83.50000000000001,84.97549672549674
5,0.47605630321936176,93.8142857142857,93.9607843094568,0.781609944999218,85.5,86.65321296350709
6,0.33530596657232803,95.97142857142856,96.05653549962189,0.6979535594582558,86.7,88.00892114421526
7,0.2420741479505192,97.52857142857142,97.57131283495809,0.6429693214595318,86.70000000000002,87.9132917735859
8,0.17559798671440643,98.45714285714287,98.48209206136991,0.606498695909977,87.50000000000001,88.65887396916808
9,0.12804347385059703,99.14285714285714,99.1556865149639,0.5805539004504681,88.50000000000001,89.71818043068042
10,0.09327256943691861,99.55714285714285,99.56073008096891,0.5591819696128368,88.10000000000002,89.26527084027086
11,0.06900092532688921,99.81428571428572,99.81728146657724,0.5458530858159065,88.40000000000002,89.6361582861583
12,0.052341560477560216,99.94285714285715,99.94366197183098,0.5335117541253567,88.60000000000002,89.76317710067711
13,0.04059630781412125,100.0,100.0,0.5215501561760902,88.90000000000002,90.07255938505939
14,0.032521294971758666,100.0,100.0,0.5137368030846119,89.20000000000002,90.37391636141636
15,0.0267750891094858,100.0,100.0,0.5062472112476826,89.10000000000002,90.29942141192141
16,0.022470852309329943,100.0,100.0,0.4995003826916218,89.40000000000002,90.51141636141637
17,0.019307931868190114,100.0,100.0,0.49323758482933044,89.50000000000001,90.56642801642802
18,0.016772219589488074,100.0,100.0,0.48908260092139244,89.70000000000002,90.82934565434566
19,0.01473492466929284,100.0,100.0,0.4844047464430332,89.60000000000001,90.70914363414364
20,0.013056776587936011,100.0,100.0,0.4806716814637184,89.90000000000002,91.09655067155069
21,0.011632373268631372,100.0,100.0,0.4767400547862053,90.00000000000001,91.16065323565324
22,0.010460793650285764,100.0,100.0,0.47395059466362,90.20000000000002,91.29276279276279
23,0.009445995202457364,100.0,100.0,0.4709545001387596,90.10000000000001,91.21346986346987
24,0.008571587045761673,100.0,100.0,0.468203566968441,90.20000000000002,91.3488233988234
25,0.0078111901879310604,100.0,100.0,0.46603231504559517,90.10000000000002,91.2579143079143
26,0.007145476273515008,100.0,100.0,0.46360527351498604,90.20000000000002,91.35589410589411
27,0.006558688196607611,100.0,100.0,0.4616875760257244,90.20000000000002,91.32710622710623
28,0.0060494317165152595,100.0,100.0,0.45956598967313766,90.20000000000002,91.32710622710623
29,0.0055801032026383006,100.0,100.0,0.4576167091727257,90.20000000000002,91.32710622710623
30,0.005170478307726709,100.0,100.0,0.45611243322491646,90.30000000000003,91.40791430791431
31,0.004799124907532876,100.0,100.0,0.45442890375852585,90.30000000000001,91.40185370185371
32,0.004466846466741779,100.0,100.0,0.45292236283421516,90.40000000000002,91.4897324897325
33,0.004165796563029289,100.0,100.0,0.45177941396832466,90.40000000000002,91.4897324897325
34,0.0038864853961223904,100.0,100.0,0.45057762786746025,90.40000000000002,91.47807747807748
35,0.0036413061009211976,100.0,100.0,0.4492168314754963,90.40000000000002,91.493228993229
36,0.0034120293249460783,100.0,100.0,0.4479152485728264,90.50000000000001,91.59361749361749
37,0.003206960035657341,100.0,100.0,0.4470114968717098,90.50000000000001,91.5825063825064
38,0.0030130806209688835,100.0,100.0,0.4458618126809597,90.60000000000002,91.64963924963925
39,0.002833501643247225,100.0,100.0,0.44490983337163925,90.70000000000002,91.77463924963925
40,0.0026719846424054015,100.0,100.0,0.44382475689053535,90.70000000000002,91.77463924963925
