epoch,train_loss,train_r,train_p,val_loss,val_r,val_p
1,4.226680807633834,10.657142857142857,11.44255999810123,3.2456381916999817,29.799999999999997,29.21482253496791
2,2.319490092450922,56.37142857142856,56.39388701398877,1.8636136949062347,65.1,67.03877503215739
3,1.2121137673204596,81.87142857142857,82.31152326803442,1.2002856582403183,80.40000000000002,81.68772893772893
4,0.7219463007016615,90.27142857142859,90.55138577874642,0.9085333198308945,84.90000000000002,86.19129204129203
5,0.48387019580060786,93.95714285714286,94.10186296188665,0.7574237361550331,86.20000000000003,87.52527195027196
6,0.3423638181252913,96.07142857142857,96.1487843817724,0.6688212975859642,87.20000000000003,88.45472860472861
7,0.247634495659308,97.32857142857144,97.37716661422506,0.6129512079060078,88.00000000000001,88.99664779664779
8,0.18045832704414022,98.28571428571428,98.30944419902761,0.5751471482217312,88.90000000000002,89.9713480963481
9,0.13181235031648117,99.0142857142857,99.02797020829152,0.5494238175451756,89.10000000000001,90.16175213675213
10,0.09715681556950916,99.42857142857143,99.4357186597848,0.5292324982583523,89.50000000000001,90.42815517815518
11,0.07195379801771858,99.71428571428572,99.71828750279455,0.513489905744791,89.80000000000003,90.73599733599734
12,0.054374739121307025,99.88571428571429,99.88692152917505,0.5016661286354065,89.70000000000002,90.59145576645577
13,0.041911056671630254,99.97142857142858,99.97183098591549,0.49088771641254425,90.00000000000001,90.87626540126541
14,0.03351731496778401,99.9857142857143,99.98591549295774,0.48259245976805687,89.90000000000002,90.80058552558553
15,0.027570215240120887,100.0,100.0,0.4739370010793209,90.00000000000001,90.96418303918303
16,0.023194548419930718,100.0,100.0,0.46743739768862724,90.10000000000001,91.00888000888
17,0.0198080393739722,100.0,100.0,0.46102607250213623,90.10000000000001,91.03055833055834
18,0.017163301614875143,100.0,100.0,0.4559274688363075,90.20000000000002,91.13792041292041
19,0.015026109479367732,100.0,100.0,0.450889740139246,90.60000000000002,91.45505328005328
20,0.01332224937663837,100.0,100.0,0.4466104991734028,90.70000000000002,91.54596237096237
21,0.011899444342336871,100.0,100.0,0.442774023860693,90.70000000000002,91.57778055278055
22,0.010666479068723592,100.0,100.0,0.43951697275042534,90.80000000000003,91.6550532800533
23,0.009636805121871558,100.0,100.0,0.4362286254763603,90.90000000000002,91.69900932400932
24,0.008744879701936787,100.0,100.0,0.4333378039300442,90.80000000000003,91.58991841491843
25,0.00796131557700309,100.0,100.0,0.43064669147133827,90.90000000000002,91.73486790986792
26,0.007290976172821088,100.0,100.0,0.42827191576361656,90.80000000000003,91.58991841491843
27,0.006702888121997768,100.0,100.0,0.4258134327828884,90.90000000000002,91.70456487956488
28,0.006167995497923006,100.0,100.0,0.4236712045967579,90.90000000000002,91.76318958818959
29,0.005704359938813882,100.0,100.0,0.4215162694454193,90.80000000000003,91.6743006993007
30,0.005280085610733791,100.0,100.0,0.4196902811527252,90.90000000000002,91.74010156510157
31,0.0048996571366759865,100.0,100.0,0.41812771931290627,90.80000000000003,91.6158202908203
32,0.004558649845421314,100.0,100.0,0.4163958467543125,90.90000000000002,91.71983294483294
33,0.004250344921919433,100.0,100.0,0.4147477149963379,90.90000000000002,91.74256021756023
34,0.003969011896035888,100.0,100.0,0.41350505128502846,90.90000000000002,91.71983294483294
35,0.0037171489305116916,100.0,100.0,0.41220301389694214,90.90000000000002,91.71983294483294
36,0.0034840577239678666,100.0,100.0,0.4105762206017971,90.90000000000002,91.71983294483294
37,0.003269398682327433,100.0,100.0,0.4096774384379387,90.90000000000002,91.7274087024087
38,0.0030769041019745847,100.0,100.0,0.4084113612771034,90.90000000000002,91.69761072261073
39,0.0028948847077448258,100.0,100.0,0.40734706819057465,90.90000000000002,91.78559496059498
40,0.0027265261858701708,100.0,100.0,0.4063798487186432,90.90000000000002,91.78559496059498
